id,range_names,GPU Elapsed Time
1,Dispatch,72.72
2,Dispatch,7.72
3,ClearRenderTargetView,11.08
4,ClearRenderTargetView,7.76
5,ClearRenderTargetView,7.64
6,ClearDepthStencilView,15.72
7,CopyResource,638.56
8,ClearRenderTargetView,8
9,DrawIndexed,62.16
10,DrawIndexed,4.48
11,DrawIndexed,5.72
12,DrawIndexed,5.32
13,DrawIndexed,3.88
14,DrawIndexed,5.12
15,DrawIndexed,5.32
16,DrawIndexed,5.88
17,DrawIndexed,4.88
18,DrawIndexed,4.88
19,DrawIndexed,5.08
20,DrawIndexed,3.92
21,DrawIndexed,5
22,DrawIndexed,4.88
23,DrawIndexed,4.92
24,DrawIndexed,4.92
25,DrawIndexed,3.92
26,DrawIndexed,4.08
27,DrawIndexed,3.64
28,DrawIndexed,4.64
29,DrawIndexed,4.8
30,DrawIndexed,5
31,DrawIndexed,3.76
32,DrawIndexed,3.84
33,DrawIndexed,3.92
34,DrawIndexed,3.68
35,DrawIndexed,3.72
36,DrawIndexed,4.8
37,DrawIndexed,5.04
38,DrawIndexed,4.12
39,DrawIndexed,4.16
40,DrawIndexed,3.88
41,DrawIndexed,3.56
42,DrawIndexed,4.84
43,DrawIndexed,4.96
44,DrawIndexed,4.92
45,DrawIndexed,5.12
46,DrawIndexed,3.88
47,DrawIndexed,3.64
48,DrawIndexed,4.04
49,DrawIndexed,4.04
50,DrawIndexed,4.84
51,DrawIndexed,5
52,DrawIndexed,381.96
53,ClearDepthStencilView,56.92
54,ClearRenderTargetView,7.6
55,DrawIndexed,1851.8
56,DrawIndexed,148.44
57,DrawIndexed,184.4
58,DrawIndexed,217.68
59,Draw,143.84
60,DrawIndexed,29.16
61,DrawIndexed,21.16
62,DrawIndexed,41.8
63,DrawIndexed,72.88
64,CopySubresourceRegion,9.72
65,ClearDepthStencilView,10.84
66,DrawIndexed,13.76
67,DrawIndexed,10.68
68,DrawIndexed,10.48
69,DrawIndexed,10.96
70,DrawIndexed,10.04
71,DrawIndexed,25.52
72,DrawIndexed,33.36
73,DrawIndexed,6.48
74,DrawIndexed,10.84
75,DrawIndexed,14.44
76,DrawIndexed,20.96
77,DrawIndexed,27.92
78,DrawIndexed,11.84
79,DrawIndexed,11.72
80,DrawIndexed,13.96
81,DrawIndexed,14.88
82,DrawIndexed,8.56
83,DrawIndexed,10.72
84,DrawIndexed,22.28
85,DrawIndexed,16.72
86,DrawIndexed,20.32
87,DrawIndexed,54.72
88,DrawIndexed,19.52
89,DrawIndexed,13.72
90,DrawIndexed,7.56
91,DrawIndexed,7.44
92,DrawIndexed,7.28
93,DrawIndexed,7.04
94,DrawIndexed,7.72
95,DrawIndexed,7
96,DrawIndexed,7.68
97,DrawIndexed,8
98,DrawIndexed,8.48
99,DrawIndexed,7.32
100,DrawIndexed,8.36
101,DrawIndexed,20.92
102,DrawIndexed,7.84
103,DrawIndexed,7.68
104,DrawIndexed,7.68
105,DrawIndexed,9.36
106,DrawIndexed,8
107,DrawIndexed,8.04
108,DrawIndexed,7
109,DrawIndexed,7.24
110,DrawIndexed,7
111,DrawIndexed,6.92
112,DrawIndexed,6.72
113,DrawIndexed,9.24
114,DrawIndexed,6.56
115,DrawIndexed,6.92
116,DrawIndexed,7.32
117,DrawIndexed,6
118,DrawIndexed,10.2
119,DrawIndexed,6.6
120,DrawIndexed,6.92
121,DrawIndexed,7.68
122,DrawIndexed,7.12
123,DrawIndexed,6.56
124,DrawIndexed,6.96
125,DrawIndexed,6.72
126,DrawIndexed,5.52
127,DrawIndexed,7.16
128,DrawIndexed,7.56
129,DrawIndexed,50.68
130,ClearDepthStencilView,9.8
131,DrawIndexed,20
132,DrawIndexed,24.76
133,DrawIndexed,12.28
134,DrawIndexed,12.8
135,DrawIndexed,21.52
136,DrawIndexed,22.88
137,DrawIndexed,30.12
138,DrawIndexed,17.04
139,DrawIndexed,19.68
140,DrawIndexed,11.52
141,DrawIndexed,13
142,DrawIndexed,9.36
143,DrawIndexed,7.8
144,DrawIndexed,25.04
145,DrawIndexed,20.68
146,ClearRenderTargetView,7.72
147,DrawIndexed,259.6
148,ClearDepthStencilView,9.84
149,DrawIndexed,65.92
150,DrawIndexed,120.6
151,DrawIndexed,30.84
152,DrawIndexed,25.84
153,DrawIndexed,26.76
154,DrawIndexed,23.4
155,DrawIndexed,26.32
156,DrawIndexed,40.16
157,DrawIndexed,5.92
158,DrawIndexed,33.2
159,DrawIndexed,22.44
160,DrawIndexed,37.72
161,DrawIndexed,26.96
162,DrawIndexed,22.08
163,DrawIndexed,77.16
164,DrawIndexed,50.6
165,DrawIndexed,24.04
166,DrawIndexed,23.76
167,DrawIndexed,26.68
168,DrawIndexed,36.16
169,DrawIndexed,27.48
170,DrawIndexed,27.64
171,DrawIndexed,12.48
172,DrawIndexed,65.6
173,DrawIndexed,19
174,DrawIndexed,18.16
175,DrawIndexed,19.8
176,DrawIndexed,22.4
177,DrawIndexed,22.16
178,DrawIndexed,6.52
179,DrawIndexed,21.4
180,DrawIndexed,22.28
181,DrawIndexed,5.64
182,DrawIndexed,21.84
183,DrawIndexed,6.48
184,DrawIndexed,6.28
185,DrawIndexed,5.4
186,DrawIndexed,6.32
187,DrawIndexed,23
188,DrawIndexed,20.2
189,DrawIndexed,6.84
190,DrawIndexed,22.6
191,DrawIndexed,22.92
192,DrawIndexed,20.64
193,DrawIndexed,5.44
194,DrawIndexed,5.52
195,DrawIndexed,21.68
196,DrawIndexed,5.4
197,DrawIndexed,23.64
198,DrawIndexed,23.2
199,DrawIndexed,23.76
200,DrawIndexed,5.84
201,DrawIndexed,5.8
202,DrawIndexed,6.16
203,DrawIndexed,5.36
204,DrawIndexed,5.48
205,DrawIndexed,21.16
206,DrawIndexed,20.68
207,DrawIndexed,5.48
208,DrawIndexed,5.88
209,DrawIndexed,22
210,DrawIndexed,21.8
211,DrawIndexed,21.96
212,DrawIndexed,22.28
213,DrawIndexed,6.4
214,DrawIndexed,54.2
215,Draw,61.84
216,ClearRenderTargetView,0.6
217,ClearRenderTargetView,0.52
218,ClearRenderTargetView,0.56
219,ClearDepthStencilView,11.76
220,DrawIndexed,51.44
221,DrawIndexed,44.6
222,DrawIndexed,43.16
223,DrawIndexed,27.32
224,DrawIndexed,42.28
225,DrawIndexed,90.2
226,DrawIndexed,220.08
227,DrawIndexed,12.8
228,DrawIndexed,114.96
229,DrawIndexedInstanced,99.92
230,DrawIndexed,34.92
231,DrawIndexedInstanced,184.16
232,DrawIndexedInstanced,71.56
233,DrawIndexedInstanced,16.8
234,DrawIndexed,18.64
235,DrawIndexedInstanced,74.88
236,DrawIndexedInstanced,24.4
237,DrawIndexed,131.92
238,DrawIndexed,965.8
239,DrawIndexed,17.8
240,DrawIndexedInstanced,14.8
241,DrawIndexed,14.88
242,DrawIndexedInstanced,57
243,DrawIndexedInstanced,49.32
244,DrawIndexedInstanced,25.32
245,DrawIndexed,46.92
246,DrawIndexedInstanced,45.24
247,DrawIndexed,502.04
248,DrawIndexedInstanced,17.4
249,DrawIndexedInstanced,18
250,DrawIndexedInstanced,15.76
251,DrawIndexed,14.72
252,DrawIndexed,30.24
253,DrawIndexedInstanced,54.52
254,DrawIndexedInstanced,49.32
255,DrawIndexedInstanced,18.6
256,DrawIndexed,69.04
257,DrawIndexed,97.4
258,DrawIndexed,16.88
259,DrawIndexedInstanced,22.08
260,DrawIndexed,15.2
261,DrawIndexed,11.16
262,DrawIndexed,11.16
263,DrawIndexed,38.48
264,DrawIndexed,46.96
265,DrawIndexed,52.88
266,DrawIndexed,37.16
267,DrawIndexed,42.8
268,DrawIndexed,55.96
269,DrawIndexed,6.52
270,DrawIndexed,201.2
271,DrawIndexed,16.76
272,DrawIndexed,27.68
273,DrawIndexed,72.96
274,DrawIndexed,37.12
275,DrawIndexed,14.12
276,DrawIndexed,218.64
277,DrawIndexed,184.72
278,DrawIndexed,988.88
279,DrawIndexed,18.96
280,DrawIndexed,30.52
281,DrawIndexed,59.56
282,DrawIndexed,35.36
283,DrawIndexed,24.12
284,DrawIndexed,17.92
285,DrawIndexed,16.48
286,DrawIndexed,21
287,DrawIndexed,7.36
288,DrawIndexed,5.12
289,DrawIndexed,5.48
290,DrawIndexed,14.04
291,DrawIndexed,18.28
292,DrawIndexed,15.72
293,DrawIndexed,5.36
294,DrawIndexed,15.96
295,DrawIndexed,4.88
296,DrawIndexed,13.28
297,DrawIndexed,13.96
298,DrawIndexed,5.92
299,DrawIndexed,4.96
300,DrawIndexed,15.08
301,DrawIndexed,14
302,DrawIndexed,5.16
303,DrawIndexed,17.8
304,DrawIndexed,5.28
305,DrawIndexed,5.68
306,DrawIndexed,4.64
307,DrawIndexed,14.12
308,DrawIndexed,16.8
309,DrawIndexed,16.24
310,DrawIndexed,5.12
311,DrawIndexed,42.36
312,DrawIndexed,11
313,DrawIndexed,46.04
314,DrawIndexed,57
315,DrawIndexed,31.84
316,DrawIndexed,17.48
317,DrawIndexed,16.72
318,DrawIndexed,27.96
319,DrawIndexed,19.6
320,DrawIndexed,27.92
321,DrawIndexed,16.2
322,DrawIndexed,16.72
323,DrawIndexed,18
324,DrawIndexed,17.72
325,DrawIndexed,18.88
326,DrawIndexed,19.56
327,DrawIndexed,17.88
328,DrawIndexed,8.44
329,DrawIndexed,24.32
330,DrawIndexed,6.48
331,DrawIndexed,18
332,DrawIndexed,21.24
333,DrawIndexed,16.6
334,DrawIndexed,16.04
335,DrawIndexed,17.04
336,DrawIndexed,15.56
337,DrawIndexed,15.4
338,DrawIndexed,32
339,DrawIndexed,40.56
340,DrawIndexed,11.68
341,DrawIndexed,128.72
342,DrawIndexed,19.2
343,DrawIndexed,6.56
344,DrawIndexed,6.84
345,DrawIndexed,16.2
346,DrawIndexed,5.8
347,DrawIndexed,15
348,DrawIndexed,15.6
349,DrawIndexed,16.12
350,DrawIndexed,17.12
351,DrawIndexed,5.64
352,DrawIndexed,15.64
353,DrawIndexed,15
354,DrawIndexed,6.48
355,DrawIndexed,5.84
356,DrawIndexed,6.48
357,DrawIndexed,6.44
358,DrawIndexed,16.96
359,DrawIndexed,16.16
360,DrawIndexed,16.64
361,DrawIndexed,14.8
362,DrawIndexed,6.12
363,DrawIndexed,14.48
364,DrawIndexed,15.24
365,DrawIndexed,15.32
366,DrawIndexed,5.56
367,DrawIndexed,6.96
368,DrawIndexed,6.56
369,DrawIndexed,16.48
370,DrawIndexed,16.8
371,DrawIndexed,14.96
372,DrawIndexed,15.92
373,DrawIndexed,6.68
374,DrawIndexed,18.32
375,DrawIndexed,6.84
376,DrawIndexed,16
377,DrawIndexed,15.64
378,DrawIndexed,15.28
379,DrawIndexed,5.88
380,DrawIndexed,6.2
381,DrawIndexed,5.6
382,DrawIndexed,6.36
383,DrawIndexed,15.12
384,DrawIndexed,5.32
385,DrawIndexed,6.36
386,DrawIndexed,18.52
387,DrawIndexed,6.08
388,DrawIndexed,6.68
389,DrawIndexed,15.88
390,DrawIndexed,16.32
391,DrawIndexed,14.96
392,DrawIndexed,18.76
393,DrawIndexed,15.08
394,DrawIndexed,6.32
395,DrawIndexed,6.16
396,DrawIndexed,16.24
397,DrawIndexed,5.88
398,DrawIndexed,5.68
399,DrawIndexed,15.04
400,DrawIndexed,15.8
401,DrawIndexed,5.76
402,DrawIndexed,6.52
403,DrawIndexed,6.08
404,DrawIndexed,6
405,DrawIndexed,6.6
406,DrawIndexed,6.28
407,DrawIndexed,15.48
408,DrawIndexed,5.4
409,DrawIndexed,6.52
410,DrawIndexed,6.52
411,DrawIndexed,6.96
412,DrawIndexed,6.24
413,DrawIndexed,5.2
414,DrawIndexed,15.88
415,DrawIndexed,15.2
416,DrawIndexed,15.4
417,DrawIndexed,5.72
418,DrawIndexed,5.2
419,DrawIndexed,20.24
420,DrawIndexed,15.8
421,DrawIndexed,20.2
422,DrawIndexed,44.76
423,DrawIndexed,20.2
424,DrawIndexed,37.8
425,DrawIndexed,42.48
426,DrawIndexed,30.16
427,DrawIndexed,31.68
428,DrawIndexed,43.76
429,DrawIndexed,15.04
430,DrawIndexed,34.2
431,DrawIndexed,29.84
432,DrawIndexed,31.96
433,DrawIndexed,15.68
434,DrawIndexed,43.72
435,DrawIndexed,19.88
436,DrawIndexed,16.84
437,DrawIndexed,36.76
438,DrawIndexed,18.44
439,DrawIndexed,25.56
440,DrawIndexed,21.12
441,DrawIndexed,25.16
442,DrawIndexed,27.4
443,DrawIndexed,30
444,DrawIndexed,29.4
445,DrawIndexed,21.12
446,DrawIndexed,18.72
447,DrawIndexed,20.2
448,DrawIndexed,18.6
449,DrawIndexed,19.44
450,DrawIndexed,17.32
451,DrawIndexed,20.04
452,DrawIndexed,17.16
453,DrawIndexed,48.56
454,DrawIndexed,19.72
455,DrawIndexed,19.24
456,DrawIndexed,8.08
457,DrawIndexed,19.88
458,DrawIndexed,17.56
459,DrawIndexed,19.16
460,DrawIndexed,18.04
461,DrawIndexed,19.24
462,DrawIndexed,20.44
463,DrawIndexed,20.12
464,DrawIndexed,16.52
465,DrawIndexed,28.88
466,ClearDepthStencilView,11.2
467,DrawIndexed,314.6
468,DrawIndexed,9.96
469,DrawIndexed,24.16
470,DrawIndexed,14.72
471,CopyResource,670.2
472,ClearRenderTargetView,7.68
473,DrawIndexed,1459.08
474,DrawIndexed,4.4
475,DrawIndexed,1160.8
476,DrawIndexed,4.08
477,DrawIndexed,32.56
478,DrawIndexed,94.52
479,DrawIndexed,11.68
480,DrawIndexed,17.44
481,DrawIndexed,581.96
482,DrawIndexed,3.84
483,DrawIndexed,4.04
484,DrawIndexed,4.88
485,DrawIndexed,5.28
486,DrawIndexed,4.08
487,DrawIndexed,3.76
488,DrawIndexed,3.88
489,DrawIndexed,815.04
490,DrawIndexed,47.48
491,DrawIndexed,128.96
492,DrawIndexed,4.04
493,DrawIndexed,812.6
494,DrawIndexed,1048.84
495,DrawIndexed,3.8
496,DrawIndexed,3.92
497,DrawIndexed,3.84
498,DrawIndexed,3.88
499,DrawIndexed,3.92
500,DrawIndexed,3.84
501,DrawIndexed,3.88
502,DrawIndexed,3.72
503,DrawIndexed,849.64
504,DrawIndexed,3.88
505,DrawIndexed,3.84
506,DrawIndexed,3.88
507,DrawIndexed,3.88
508,DrawIndexed,3.8
509,DrawIndexed,1183.76
510,DrawIndexed,10.28
511,DrawIndexed,17.56
512,ClearDepthStencilView,0.56
513,DrawIndexedInstanced,47.8
514,DrawIndexed,5.76
515,DrawIndexed,19.64
516,DrawIndexed,12.32
517,DrawIndexedInstanced,49.08
518,DrawIndexed,9.48
519,DrawIndexedInstanced,23.84
520,DrawIndexed,18.6
521,DrawIndexed,5.16
522,DrawIndexed,11
523,DrawIndexed,23.32
524,DrawIndexed,7.2
525,DrawIndexed,29.28
526,DrawIndexed,76.8
527,DrawIndexed,23.28
528,DrawIndexed,185.64
529,DrawIndexed,9.16
530,DrawIndexed,28.6
531,DrawIndexed,18.84
532,DrawIndexedInstanced,23.16
533,DrawIndexedInstanced,10.68
534,DrawIndexed,7.12
535,DrawIndexed,15.92
536,DrawIndexed,16.04
537,DrawIndexed,17.16
538,DrawIndexed,6.64
539,DrawIndexed,16.92
540,DrawIndexed,11.84
541,DrawIndexed,16.76
542,DrawIndexed,16.6
543,DrawIndexed,17.84
544,DrawIndexed,4.96
545,DrawIndexed,24.04
546,DrawIndexed,25
547,DrawIndexed,9.04
548,DrawIndexed,6.2
549,DrawIndexed,6.8
550,DrawIndexed,6.56
551,DrawIndexed,6.08
552,DrawIndexed,6.84
553,DrawIndexed,6.92
554,DrawIndexed,9.2
555,DrawIndexed,6.72
556,DrawIndexed,5.52
557,DrawIndexed,13.44
558,DrawIndexed,9.92
559,DrawIndexed,21
560,DrawIndexed,18.24
561,DrawIndexed,17.12
562,DrawIndexed,32.24
563,DrawIndexed,9.64
564,DrawIndexed,13.44
565,DrawIndexed,17.4
566,DrawIndexedInstanced,23.08
567,DrawIndexed,20.28
568,DrawIndexedInstanced,19.12
569,DrawIndexedInstanced,12.4
570,DrawIndexed,7.52
571,DrawIndexed,7.24
572,DrawIndexed,6.92
573,DrawIndexed,6.32
574,DrawIndexed,6.6
575,DrawIndexed,10
576,DrawIndexed,9.68
577,DrawIndexed,10.36
578,DrawIndexed,10.32
579,DrawIndexed,10.2
580,DrawIndexed,11.08
581,DrawIndexed,16
582,DrawIndexed,22.08
583,DrawIndexed,15.24
584,DrawIndexed,15.68
585,DrawIndexed,53.16
586,DrawIndexed,20.28
587,DrawIndexed,7
588,DrawIndexed,12.84
589,DrawIndexed,6.04
590,DrawIndexed,7.4
591,DrawIndexed,9.6
592,DrawIndexed,9.52
593,DrawIndexed,8.04
594,DrawIndexed,6.96
595,DrawIndexed,9.16
596,DrawIndexed,8.2
597,DrawIndexed,12.72
598,DrawIndexed,12.44
599,DrawIndexed,12.16
600,DrawIndexed,223.84
601,DrawIndexed,7.16
602,DrawIndexedInstanced,7.4
603,DrawIndexed,32.4
604,DrawIndexed,26.72
605,DrawIndexed,30.52
606,ClearRenderTargetView,7.76
607,DrawIndexed,1849.84
608,DrawIndexed,1477.24
609,DrawIndexed,7
610,DrawIndexed,26.24
611,DrawIndexed,34
612,DrawIndexed,6.84
613,DrawIndexed,23.08
614,DrawIndexed,33.72
615,Dispatch,649.52
616,Dispatch,35.4
617,Dispatch,462.12
618,Dispatch,125.64
619,Dispatch,40.04
620,Dispatch,14.88
621,Dispatch,19.8
622,Dispatch,52.84
623,Dispatch,176.92
624,Dispatch,669.48
625,DrawIndexed,832.8
626,DrawIndexed,867.44
627,DrawIndexed,1010.56
628,DrawIndexed,6.44
629,DrawIndexed,21.2
630,DrawIndexed,19.32
631,CopySubresourceRegion,1134.68
632,DrawIndexed,400.36
633,DrawIndexed,6.24
634,DrawIndexed,4.12
635,DrawIndexed,6.6
636,DrawIndexed,6.32
637,DrawIndexed,6.56
638,DrawIndexed,6.24
639,DrawIndexed,174.04
640,DrawIndexed,187.92
641,DrawIndexed,90.8
642,DrawIndexed,863.24
643,DrawIndexed,532.08
644,DrawIndexed,129.84
645,DrawIndexed,39.56
646,DrawIndexed,16.4
647,DrawIndexed,8.96
648,DrawIndexed,7.4
649,DrawIndexed,6.84
650,DrawIndexed,6.4
651,DrawIndexed,6.56
652,DrawIndexed,7.08
653,DrawIndexed,6.68
654,DrawIndexed,6.96
655,DrawIndexed,7.56
656,DrawIndexed,10.68
657,DrawIndexed,22.6
658,DrawIndexed,77.2
659,DrawIndexed,270.2
660,Dispatch,81.24
661,DrawIndexed,1779.44
662,DrawIndexed,3462.68
663,DrawIndexed,663.52
664,ClearDepthStencilView,8
665,DrawIndexed,15.4
666,CopySubresourceRegion,506.56
667,DrawIndexed,360.84
668,CopySubresourceRegion,504.32
669,DrawIndexed,338.96
670,DrawIndexed,81.32
671,DrawIndexed,13.48
672,DrawIndexed,25.52
673,DrawIndexed,18.12
674,DrawIndexed,9.36
675,DrawIndexed,8.8
676,DrawIndexed,8.28
677,DrawIndexed,7.12
678,DrawIndexed,8.08
679,DrawIndexed,7.12
680,DrawIndexed,8.36
681,DrawIndexed,7
682,DrawIndexed,7.52
683,DrawIndexed,456.4
