id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
1,Dispatch,0,0,18944,0,68,0,0,0,0,0,0,0,0
2,Dispatch,0,0,1920,0,21,0,0,0,0,0,0,0,0
3,ClearRenderTargetView,0,0,0,0,13,0,0,0,0,0,0,0,0
4,ClearRenderTargetView,0,0,0,0,12,0,0,0,0,0,0,0,0
5,ClearRenderTargetView,0,0,0,0,13,0,0,0,0,0,0,0,0
6,ClearDepthStencilView,0,0,0,0,32,0,0,0,0,0,0,0,0
7,CopyResource,0,0,0,0,232,0,0,0,0,0,0,0,0
8,ClearRenderTargetView,0,0,0,0,17,0,0,0,0,0,0,0,0
9,DrawIndexed,2,2,0,0,30,0,0,0,2,6,4,0,0
10,DrawIndexed,12,0,0,0,13,0,0,0,12,36,24,0,0
11,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
12,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
13,DrawIndexed,12,0,0,0,11,0,0,0,12,36,24,0,0
14,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
15,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
16,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
17,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
18,DrawIndexed,12,0,0,0,11,0,0,0,12,36,24,0,0
19,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
20,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
21,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
22,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
23,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
24,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
25,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
26,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
27,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
28,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
29,DrawIndexed,12,0,0,0,11,0,0,0,12,36,24,0,0
30,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
31,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
32,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
33,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
34,DrawIndexed,12,0,0,0,13,0,0,0,12,36,24,0,0
35,DrawIndexed,12,0,0,0,11,0,0,0,12,36,24,0,0
36,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
37,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
38,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
39,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
40,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
41,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
42,DrawIndexed,12,0,0,0,13,0,0,0,12,36,24,0,0
43,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
44,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
45,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
46,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
47,DrawIndexed,12,0,0,0,11,0,0,0,12,36,24,0,0
48,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
49,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
50,DrawIndexed,12,0,0,0,12,0,0,0,12,36,24,0,0
51,DrawIndexed,12,0,0,0,13,0,0,0,12,36,24,0,0
52,DrawIndexed,2,2,0,0,125,0,0,0,2,6,4,2.0736e+06,2.0736e+06
53,ClearDepthStencilView,0,0,0,0,30,0,0,0,0,0,0,0,0
54,ClearRenderTargetView,0,0,0,0,33,0,0,0,0,0,0,0,0
55,DrawIndexed,2,2,0,0,569,0,0,0,2,6,4,2.0736e+06,2.0736e+06
56,DrawIndexed,2,2,0,0,27,0,0,0,2,6,4,0,0
57,DrawIndexed,6939,5123,0,0,99,0,0,0,6939,20817,5681,695821,695821
58,DrawIndexed,2,1,0,0,118,0,0,0,2,6,4,1.08136e+06,1.08136e+06
59,Draw,1680,337,0,0,55,0,0,0,1680,5040,5040,376411,376411
60,DrawIndexed,14,14,0,0,24,0,0,0,14,42,16,111136,111136
61,DrawIndexed,14,4,0,0,23,0,0,0,14,42,16,53369,53369
62,DrawIndexed,14,6,0,0,31,0,0,0,14,42,16,145173,145173
63,DrawIndexed,14,14,0,0,47,0,0,0,14,42,16,256657,256657
64,CopySubresourceRegion,0,0,0,0,16,0,0,0,0,0,0,0,0
65,ClearDepthStencilView,0,0,0,0,20,0,0,0,0,0,0,0,0
66,DrawIndexed,3998,0,0,0,18,0,0,0,3998,11994,3474,0,0
67,DrawIndexed,326,210,0,0,18,0,0,0,326,978,362,2456,0
68,DrawIndexed,326,228,0,0,18,0,0,0,326,978,362,4374,0
69,DrawIndexed,326,282,0,0,18,0,0,0,326,978,362,3469,0
70,DrawIndexed,326,336,0,0,17,0,0,0,326,978,362,1466,0
71,DrawIndexed,12704,13,0,0,19,0,0,0,12704,38112,11785,0,0
72,DrawIndexed,13699,7296,0,0,26,0,0,0,13699,41097,16426,4897,0
73,DrawIndexed,686,0,0,0,16,0,0,0,686,2058,697,0,0
74,DrawIndexed,686,313,0,0,19,0,0,0,686,2058,697,10080,0
75,DrawIndexed,2061,553,0,0,19,0,0,0,2061,6183,2161,337,0
76,DrawIndexed,9929,0,0,0,17,0,0,0,9929,29787,8313,0,0
77,DrawIndexed,4973,4867,0,0,27,0,0,0,4973,14919,4302,12030,0
78,DrawIndexed,1500,875,0,0,17,0,0,0,1500,4500,1403,2366,0
79,DrawIndexed,686,213,0,0,18,0,0,0,686,2058,697,5440,0
80,DrawIndexed,686,446,0,0,19,0,0,0,686,2058,697,2020,0
81,DrawIndexed,686,519,0,0,19,0,0,0,686,2058,697,5759,0
82,DrawIndexed,326,71,0,0,18,0,0,0,326,978,362,160,0
83,DrawIndexed,326,206,0,0,17,0,0,0,326,978,362,643,0
84,DrawIndexed,8890,2787,0,0,20,0,0,0,8890,26670,7410,4430,0
85,DrawIndexed,4918,4918,0,0,21,0,0,0,4918,14754,4224,7384,0
86,DrawIndexed,2061,723,0,0,23,0,0,0,2061,6183,2161,759,0
87,DrawIndexed,27536,14335,0,0,33,0,0,0,27536,82608,23362,5416,0
88,DrawIndexed,2061,1915,0,0,20,0,0,0,2061,6183,2161,1444,0
89,DrawIndexed,4976,0,0,0,15,0,0,0,4976,14928,4332,0,0
90,DrawIndexed,104,104,0,0,16,0,0,0,104,312,148,0,0
91,DrawIndexed,104,104,0,0,16,0,0,0,104,312,148,126,0
92,DrawIndexed,104,104,0,0,14,0,0,0,104,312,148,14,0
93,DrawIndexed,104,104,0,0,15,0,0,0,104,312,148,0,0
94,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,151,0
95,DrawIndexed,104,104,0,0,15,0,0,0,104,312,145,0,0
96,DrawIndexed,364,364,0,0,16,0,0,0,364,1092,458,0,0
97,DrawIndexed,260,260,0,0,16,0,0,0,260,780,313,0,0
98,DrawIndexed,260,216,0,0,16,0,0,0,260,780,313,16,0
99,DrawIndexed,104,80,0,0,16,0,0,0,104,312,145,34,0
100,DrawIndexed,260,260,0,0,16,0,0,0,260,780,313,0,0
101,DrawIndexed,2061,1271,0,0,20,0,0,0,2061,6183,2161,658,0
102,DrawIndexed,167,167,0,0,15,0,0,0,167,501,195,25,0
103,DrawIndexed,167,167,0,0,16,0,0,0,167,501,195,4,0
104,DrawIndexed,104,104,0,0,15,0,0,0,104,312,148,44,0
105,DrawIndexed,260,200,0,0,17,0,0,0,260,780,313,34,0
106,DrawIndexed,113,104,0,0,17,0,0,0,113,339,137,14,0
107,DrawIndexed,113,84,0,0,16,0,0,0,113,339,137,10,0
108,DrawIndexed,104,104,0,0,16,0,0,0,104,312,148,0,0
109,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,0,0
110,DrawIndexed,104,104,0,0,15,0,0,0,104,312,145,4,0
111,DrawIndexed,104,104,0,0,15,0,0,0,104,312,148,0,0
112,DrawIndexed,104,100,0,0,16,0,0,0,104,312,148,125,0
113,DrawIndexed,260,241,0,0,16,0,0,0,260,780,313,516,0
114,DrawIndexed,260,260,0,0,16,0,0,0,260,780,313,0,0
115,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,0,0
116,DrawIndexed,104,104,0,0,15,0,0,0,104,312,145,0,0
117,DrawIndexed,104,104,0,0,15,0,0,0,104,312,148,0,0
118,DrawIndexed,364,261,0,0,17,0,0,0,364,1092,458,18,0
119,DrawIndexed,104,104,0,0,15,0,0,0,104,312,145,0,0
120,DrawIndexed,113,55,0,0,16,0,0,0,113,339,137,25,0
121,DrawIndexed,113,87,0,0,16,0,0,0,113,339,137,109,0
122,DrawIndexed,260,260,0,0,15,0,0,0,260,780,313,0,0
123,DrawIndexed,260,260,0,0,16,0,0,0,260,780,313,1,0
124,DrawIndexed,260,260,0,0,15,0,0,0,260,780,313,72,0
125,DrawIndexed,260,260,0,0,15,0,0,0,260,780,313,5,0
126,DrawIndexed,104,43,0,0,16,0,0,0,104,312,148,0,0
127,DrawIndexed,72,72,0,0,15,0,0,0,72,216,83,0,0
128,DrawIndexed,347,347,0,0,16,0,0,0,347,1041,411,0,0
129,DrawIndexed,10252,6123,0,0,35,0,0,0,10252,30756,8701,2499,0
130,ClearDepthStencilView,0,0,0,0,11,0,0,0,0,0,0,0,0
131,DrawIndexed,10252,0,0,0,16,0,0,0,10252,30756,8701,0,0
132,DrawIndexed,12704,728,0,0,20,0,0,0,12704,38112,11785,9693,0
133,DrawIndexed,4973,0,0,0,15,0,0,0,4973,14919,4302,0,0
134,DrawIndexed,4918,0,0,0,15,0,0,0,4918,14754,4224,0,0
135,DrawIndexed,9929,852,0,0,17,0,0,0,9929,29787,8313,0,0
136,DrawIndexed,10252,9061,0,0,24,0,0,0,10252,30756,8701,5036,0
137,DrawIndexed,12704,7772,0,0,26,0,0,0,12704,38112,11785,10301,0
138,DrawIndexed,4973,3219,0,0,17,0,0,0,4973,14919,4302,9245,0
139,DrawIndexed,4918,4044,0,0,20,0,0,0,4918,14754,4224,20349,0
140,DrawIndexed,2061,580,0,0,16,0,0,0,2061,6183,2161,119,0
141,DrawIndexed,2061,1343,0,0,17,0,0,0,2061,6183,2161,3516,0
142,DrawIndexed,686,508,0,0,17,0,0,0,686,2058,697,5465,0
143,DrawIndexed,686,121,0,0,16,0,0,0,686,2058,697,539,0
144,DrawIndexed,9929,6465,0,0,25,0,0,0,9929,29787,8313,10,0
145,DrawIndexed,8890,3324,0,0,20,0,0,0,8890,26670,7410,2170,0
146,ClearRenderTargetView,0,0,0,0,11,0,0,0,0,0,0,0,0
147,DrawIndexed,2,2,0,0,199,0,0,0,2,6,4,262144,262144
148,ClearDepthStencilView,0,0,0,0,11,0,0,0,0,0,0,0,0
149,DrawIndexed,13699,7296,0,0,54,0,0,0,13699,41097,16426,7074,7074
150,DrawIndexed,27536,14335,0,0,72,0,0,0,27536,82608,23362,18686,18686
151,DrawIndexed,3998,0,0,0,19,0,0,0,3998,11994,3474,0,0
152,DrawIndexed,326,210,0,0,30,0,0,0,326,978,362,2456,2456
153,DrawIndexed,326,228,0,0,24,0,0,0,326,978,362,4374,4374
154,DrawIndexed,326,336,0,0,21,0,0,0,326,978,362,2155,2155
155,DrawIndexed,326,282,0,0,23,0,0,0,326,978,362,3469,3469
156,DrawIndexed,686,313,0,0,27,0,0,0,686,2058,697,10034,10034
157,DrawIndexed,686,0,0,0,12,0,0,0,686,2058,697,0,0
158,DrawIndexed,686,213,0,0,28,0,0,0,686,2058,697,5440,5440
159,DrawIndexed,326,206,0,0,23,0,0,0,326,978,362,643,643
160,DrawIndexed,686,519,0,0,26,0,0,0,686,2058,697,6124,6124
161,DrawIndexed,686,446,0,0,23,0,0,0,686,2058,697,1886,1886
162,DrawIndexed,326,71,0,0,20,0,0,0,326,978,362,253,253
163,DrawIndexed,4918,4918,0,0,37,0,0,0,4918,14754,4224,9915,9915
164,DrawIndexed,8890,2787,0,0,38,0,0,0,8890,26670,7410,4430,4430
165,DrawIndexed,12704,13,0,0,25,0,0,0,12704,38112,11785,0,0
166,DrawIndexed,2061,553,0,0,27,0,0,0,2061,6183,2161,337,337
167,DrawIndexed,2061,723,0,0,28,0,0,0,2061,6183,2161,759,759
168,DrawIndexed,2061,1915,0,0,26,0,0,0,2061,6183,2161,3108,3108
169,DrawIndexed,2061,1271,0,0,27,0,0,0,2061,6183,2161,658,658
170,DrawIndexed,1500,875,0,0,25,0,0,0,1500,4500,1403,2251,2251
171,DrawIndexed,4976,0,0,0,15,0,0,0,4976,14928,4332,0,0
172,DrawIndexed,4973,4867,0,0,35,0,0,0,4973,14919,4302,11415,11415
173,DrawIndexed,9929,0,0,0,18,0,0,0,9929,29787,8313,0,0
174,DrawIndexed,167,167,0,0,24,0,0,0,167,501,195,27,27
175,DrawIndexed,167,167,0,0,20,0,0,0,167,501,195,5,5
176,DrawIndexed,72,72,0,0,21,0,0,0,72,216,83,15,15
177,DrawIndexed,347,347,0,0,20,0,0,0,347,1041,411,36,36
178,DrawIndexed,104,104,0,0,17,0,0,0,104,312,148,0,0
179,DrawIndexed,104,104,0,0,19,0,0,0,104,312,148,126,126
180,DrawIndexed,104,104,0,0,20,0,0,0,104,312,148,13,13
181,DrawIndexed,104,104,0,0,16,0,0,0,104,312,148,0,0
182,DrawIndexed,104,104,0,0,20,0,0,0,104,312,145,151,151
183,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,0,0
184,DrawIndexed,260,260,0,0,15,0,0,0,260,780,313,0,0
185,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,0,0
186,DrawIndexed,260,260,0,0,17,0,0,0,260,780,313,0,0
187,DrawIndexed,260,216,0,0,21,0,0,0,260,780,313,16,16
188,DrawIndexed,104,80,0,0,20,0,0,0,104,312,145,34,34
189,DrawIndexed,260,260,0,0,16,0,0,0,260,780,313,0,0
190,DrawIndexed,104,104,0,0,20,0,0,0,104,312,148,44,44
191,DrawIndexed,113,104,0,0,21,0,0,0,113,339,137,14,14
192,DrawIndexed,113,84,0,0,21,0,0,0,113,339,137,10,10
193,DrawIndexed,104,104,0,0,14,0,0,0,104,312,148,0,0
194,DrawIndexed,104,104,0,0,17,0,0,0,104,312,145,0,0
195,DrawIndexed,104,104,0,0,21,0,0,0,104,312,145,4,4
196,DrawIndexed,104,104,0,0,16,0,0,0,104,312,148,0,0
197,DrawIndexed,260,200,0,0,25,0,0,0,260,780,313,34,34
198,DrawIndexed,104,100,0,0,23,0,0,0,104,312,148,125,125
199,DrawIndexed,260,241,0,0,19,0,0,0,260,780,313,516,516
200,DrawIndexed,260,260,0,0,16,0,0,0,260,780,313,0,0
201,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,0,0
202,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,0,0
203,DrawIndexed,104,104,0,0,17,0,0,0,104,312,148,0,0
204,DrawIndexed,104,104,0,0,15,0,0,0,104,312,145,0,0
205,DrawIndexed,113,55,0,0,22,0,0,0,113,339,137,25,25
206,DrawIndexed,113,87,0,0,20,0,0,0,113,339,137,109,109
207,DrawIndexed,104,43,0,0,16,0,0,0,104,312,148,0,0
208,DrawIndexed,260,260,0,0,15,0,0,0,260,780,313,0,0
209,DrawIndexed,260,260,0,0,22,0,0,0,260,780,313,1,1
210,DrawIndexed,260,260,0,0,20,0,0,0,260,780,313,72,72
211,DrawIndexed,260,260,0,0,20,0,0,0,260,780,313,5,5
212,DrawIndexed,260,189,0,0,22,0,0,0,260,780,313,18,18
213,DrawIndexed,104,72,0,0,16,0,0,0,104,312,145,0,0
214,DrawIndexed,10252,6123,0,0,45,0,0,0,10252,30756,8701,2499,2499
215,Draw,1680,224,0,0,28,0,0,0,1680,5040,5040,197785,197785
216,ClearRenderTargetView,0,0,0,0,8,0,0,0,0,0,0,0,0
217,ClearRenderTargetView,0,0,0,0,8,0,0,0,0,0,0,0,0
218,ClearRenderTargetView,0,0,0,0,8,0,0,0,0,0,0,0,0
219,ClearDepthStencilView,0,0,0,0,34,0,0,0,0,0,0,0,0
220,DrawIndexed,1062,1062,0,0,48,0,0,0,1062,3186,1288,23127,23127
221,DrawIndexed,1532,1532,0,0,38,0,0,0,1532,4596,1317,11065,19985
222,DrawIndexed,1532,1532,0,0,32,0,0,0,1532,4596,1317,11952,21114
223,DrawIndexed,1532,1532,0,0,28,0,0,0,1532,4596,1317,3547,6332
224,DrawIndexed,1532,109,0,0,29,0,0,0,1532,4596,1317,14982,24790
225,DrawIndexed,13699,3535,0,0,58,0,0,0,13699,41097,16426,30825,30825
226,DrawIndexed,27536,9320,0,0,128,0,0,0,27536,82608,23362,127621,127621
227,DrawIndexed,138,138,0,0,22,0,0,0,138,414,117,35,35
228,DrawIndexed,15741,15741,0,0,76,0,0,0,15741,47223,13690,23045,23045
229,DrawIndexedInstanced,128,128,0,0,66,0,0,0,128,384,153,29528,175556
230,DrawIndexed,90,90,0,0,31,0,0,0,90,270,142,11994,19379
231,DrawIndexedInstanced,640,637,0,0,95,0,0,0,640,1920,768,44853,385873
232,DrawIndexedInstanced,1170,1099,0,0,47,0,0,0,1170,3510,1846,21645,39543
233,DrawIndexedInstanced,244,6,0,0,25,0,0,0,244,732,200,358,995
234,DrawIndexed,2368,0,0,0,23,0,0,0,2368,7104,6308,0,0
235,DrawIndexedInstanced,320,278,0,0,47,0,0,0,320,960,384,14345,143472
236,DrawIndexedInstanced,540,312,0,0,27,0,0,0,540,1620,852,2580,7045
237,DrawIndexed,122,122,0,0,68,0,0,0,122,366,97,73052,122483
238,DrawIndexed,2,3,0,0,380,0,0,0,2,6,4,1.04354e+06,1.04354e+06
239,DrawIndexed,2852,2852,0,0,25,0,0,0,2852,8556,2476,794,794
240,DrawIndexedInstanced,152,152,0,0,28,0,0,0,152,456,122,381,381
241,DrawIndexed,50,50,0,0,22,0,0,0,50,150,38,204,204
242,DrawIndexedInstanced,320,270,0,0,41,0,0,0,320,960,384,10203,88368
243,DrawIndexedInstanced,1350,1226,0,0,37,0,0,0,1350,4050,2130,10710,25540
244,DrawIndexedInstanced,112,112,0,0,29,0,0,0,112,336,96,5635,9468
245,DrawIndexed,122,122,0,0,37,0,0,0,122,366,97,18521,28333
246,DrawIndexedInstanced,200,200,0,0,36,0,0,0,200,600,168,15020,30894
247,DrawIndexed,1920,1289,0,0,230,0,0,0,1920,5760,1500,341942,341942
248,DrawIndexedInstanced,702,702,0,0,25,0,0,0,702,2106,574,1230,1230
249,DrawIndexedInstanced,228,228,0,0,22,0,0,0,228,684,184,1506,1506
250,DrawIndexedInstanced,300,300,0,0,21,0,0,0,300,900,249,585,585
251,DrawIndexed,50,50,0,0,20,0,0,0,50,150,38,110,110
252,DrawIndexed,1532,1532,0,0,30,0,0,0,1532,4596,1310,6204,11010
253,DrawIndexedInstanced,4050,4050,0,0,45,0,0,0,4050,12150,6390,10932,27619
254,DrawIndexedInstanced,976,976,0,0,41,0,0,0,976,2928,810,15398,32781
255,DrawIndexedInstanced,200,200,0,0,26,0,0,0,200,600,168,1331,2569
256,DrawIndexed,5434,4035,0,0,52,0,0,0,5434,16302,4520,30042,30042
257,DrawIndexed,5434,5434,0,0,64,0,0,0,5434,16302,4520,51111,51111
258,DrawIndexed,122,122,0,0,27,0,0,0,122,366,97,1579,2535
259,DrawIndexedInstanced,300,300,0,0,25,0,0,0,300,900,252,2715,4747
260,DrawIndexed,6939,0,0,0,17,0,0,0,6939,20817,5681,0,0
261,DrawIndexed,3998,0,0,0,18,0,0,0,3998,11994,3474,0,0
262,DrawIndexed,2998,0,0,0,19,0,0,0,2998,8994,2505,0,0
263,DrawIndexed,326,326,0,0,34,0,0,0,326,978,362,20322,20322
264,DrawIndexed,326,270,0,0,37,0,0,0,326,978,362,28755,28755
265,DrawIndexed,326,326,0,0,38,0,0,0,326,978,362,30074,30074
266,DrawIndexed,326,326,0,0,33,0,0,0,326,978,362,17333,17333
267,DrawIndexed,326,326,0,0,33,0,0,0,326,978,362,22399,22399
268,DrawIndexed,686,396,0,0,40,0,0,0,686,2058,697,21857,21857
269,DrawIndexed,686,11,0,0,15,0,0,0,686,2058,697,0,0
270,DrawIndexed,686,378,0,0,93,0,0,0,686,2058,697,137495,137495
271,DrawIndexed,326,326,0,0,20,0,0,0,326,978,362,114,114
272,DrawIndexed,686,102,0,0,24,0,0,0,686,2058,697,8778,8778
273,DrawIndexed,686,686,0,0,46,0,0,0,686,2058,697,42027,42027
274,DrawIndexed,686,686,0,0,30,0,0,0,686,2058,697,11213,11213
275,DrawIndexed,326,38,0,0,19,0,0,0,326,978,362,71,71
276,DrawIndexed,4918,4918,0,0,126,0,0,0,4918,14754,4224,92081,92081
277,DrawIndexed,8890,3581,0,0,109,0,0,0,8890,26670,7410,85700,85700
278,DrawIndexed,12704,3381,0,0,434,0,0,0,12704,38112,11785,794753,794753
279,DrawIndexed,2061,527,0,0,25,0,0,0,2061,6183,2161,1105,1105
280,DrawIndexed,2061,2061,0,0,27,0,0,0,2061,6183,2161,5267,5267
281,DrawIndexed,2061,2061,0,0,41,0,0,0,2061,6183,2161,24239,24239
282,DrawIndexed,2061,2061,0,0,32,0,0,0,2061,6183,2161,6382,6382
283,DrawIndexed,488,488,0,0,30,0,0,0,488,1464,457,4556,4556
284,DrawIndexed,488,488,0,0,21,0,0,0,488,1464,457,576,576
285,DrawIndexed,488,488,0,0,20,0,0,0,488,1464,457,238,238
286,DrawIndexed,488,488,0,0,23,0,0,0,488,1464,457,3380,3380
287,DrawIndexed,82,82,0,0,22,0,0,0,82,246,77,0,0
288,DrawIndexed,302,38,0,0,17,0,0,0,302,906,275,0,0
289,DrawIndexed,82,82,0,0,17,0,0,0,82,246,77,0,0
290,DrawIndexed,274,274,0,0,21,0,0,0,274,822,261,98,98
291,DrawIndexed,576,576,0,0,22,0,0,0,576,1728,542,1212,1212
292,DrawIndexed,232,232,0,0,20,0,0,0,232,696,224,1013,1013
293,DrawIndexed,148,148,0,0,17,0,0,0,148,444,144,0,0
294,DrawIndexed,300,300,0,0,22,0,0,0,300,900,291,708,708
295,DrawIndexed,82,82,0,0,16,0,0,0,82,246,77,0,0
296,DrawIndexed,82,82,0,0,20,0,0,0,82,246,77,143,143
297,DrawIndexed,206,206,0,0,20,0,0,0,206,618,191,223,223
298,DrawIndexed,148,44,0,0,17,0,0,0,148,444,144,0,0
299,DrawIndexed,82,82,0,0,17,0,0,0,82,246,77,0,0
300,DrawIndexed,412,412,0,0,20,0,0,0,412,1236,387,116,116
301,DrawIndexed,82,82,0,0,21,0,0,0,82,246,77,720,720
302,DrawIndexed,150,150,0,0,17,0,0,0,150,450,144,0,0
303,DrawIndexed,672,672,0,0,22,0,0,0,672,2016,607,713,713
304,DrawIndexed,148,148,0,0,16,0,0,0,148,444,144,0,0
305,DrawIndexed,150,150,0,0,17,0,0,0,150,450,144,0,0
306,DrawIndexed,82,82,0,0,16,0,0,0,82,246,77,0,0
307,DrawIndexed,148,148,0,0,20,0,0,0,148,444,144,506,506
308,DrawIndexed,450,450,0,0,21,0,0,0,450,1350,419,1587,1587
309,DrawIndexed,534,534,0,0,21,0,0,0,534,1602,505,678,678
310,DrawIndexed,124,124,0,0,17,0,0,0,124,372,113,0,0
311,DrawIndexed,4540,4371,0,0,37,0,0,0,4540,13620,3880,8622,8622
312,DrawIndexed,4540,0,0,0,13,0,0,0,4540,13620,3880,0,0
313,DrawIndexed,7885,6510,0,0,34,0,0,0,7885,23655,6674,12564,12564
314,DrawIndexed,4540,4540,0,0,39,0,0,0,4540,13620,3880,12457,12457
315,DrawIndexed,1912,1912,0,0,29,0,0,0,1912,5736,1846,5226,5226
316,DrawIndexed,796,796,0,0,21,0,0,0,796,2388,689,1653,1653
317,DrawIndexed,796,796,0,0,21,0,0,0,796,2388,689,1383,1383
318,DrawIndexed,796,796,0,0,31,0,0,0,796,2388,689,11187,11187
319,DrawIndexed,796,796,0,0,22,0,0,0,796,2388,689,2571,2571
320,DrawIndexed,796,593,0,0,29,0,0,0,796,2388,689,10175,10175
321,DrawIndexed,796,786,0,0,24,0,0,0,796,2388,689,883,883
322,DrawIndexed,796,796,0,0,22,0,0,0,796,2388,689,1466,1466
323,DrawIndexed,796,796,0,0,20,0,0,0,796,2388,689,2208,2208
324,DrawIndexed,796,796,0,0,19,0,0,0,796,2388,689,1882,1882
325,DrawIndexed,796,796,0,0,20,0,0,0,796,2388,689,2501,2501
326,DrawIndexed,796,796,0,0,20,0,0,0,796,2388,689,3368,3368
327,DrawIndexed,796,796,0,0,20,0,0,0,796,2388,689,1468,1468
328,DrawIndexed,796,459,0,0,17,0,0,0,796,2388,689,0,0
329,DrawIndexed,796,796,0,0,23,0,0,0,796,2388,689,6618,6618
330,DrawIndexed,796,48,0,0,16,0,0,0,796,2388,689,0,0
331,DrawIndexed,796,796,0,0,20,0,0,0,796,2388,689,1523,1523
332,DrawIndexed,898,898,0,0,22,0,0,0,898,2694,886,2163,2163
333,DrawIndexed,898,898,0,0,20,0,0,0,898,2694,886,386,386
334,DrawIndexed,898,898,0,0,19,0,0,0,898,2694,886,368,368
335,DrawIndexed,898,898,0,0,20,0,0,0,898,2694,886,621,621
336,DrawIndexed,298,298,0,0,20,0,0,0,298,894,405,480,480
337,DrawIndexed,298,298,0,0,19,0,0,0,298,894,405,505,505
338,DrawIndexed,17253,95,0,0,28,0,0,0,17253,51759,14966,0,0
339,DrawIndexed,1500,752,0,0,34,0,0,0,1500,4500,1403,12874,12874
340,DrawIndexed,4976,0,0,0,15,0,0,0,4976,14928,4332,0,0
